ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
278,1055,University of North Florida,,,1899,632,1052,1987
279,1057,University of Mississippi Medical Center,,,5924,2475,1107,814
280,1068,Marshall University,,,1889,619,1466,1925
281,1075,Embry Riddle Aeronautical University,,,2477,698,1099,1909
282,1078,Middlebury College,,,1169,313,1841,2418
283,1078,University of Alaska Fairbanks,,,1305,342,7356,842
284,1089,University of Louisiana at Lafayette,,,2763,931,966,1711
285,1100,Naval Postgraduate School,,,1735,1123,797,1691
286,1101,Loyola Marymount University,,,2140,567,1309,2105
287,1102,Manhattan College,,,6726,1070,2041,1275
288,1109,University of New Orleans,,,3108,1093,1671,1428
289,1112,State University of New York Upstate Medical University,,,3022,1891,1003,1158
290,1114,Fairfield University,,,3944,977,2108,1429
291,1116,Williams College,,,1494,510,1199,2304
292,1122,Southern Illinois University Edwardsville,,,2398,597,1441,2075
293,1128,Amherst College,,,1383,471,1699,2259
294,1130,University of South Alabama,,,3981,1608,886,1340
295,1130,Oberlin College,,,2249,426,1779,2289
296,1136,(3) Texas Tech University Health Sciences Center,,,3675,2288,678,1139
297,1141,United States Naval Academy,,,4306,826,1279,1805
298,1150,Mount Holyoke College,,,1888,399,1939,2357
299,1165,University of Colorado System,,,3365,2746,7356,128
300,1167,Sonoma State University,,,2858,563,2063,2059
301,1169,Saint John's University,,,3855,812,1450,1859
302,1172,Trinity University San Antonio,,,3394,599,1340,2184
303,1173,State University of New York College of Environmental Science and Forestry,,,4074,1110,979,1720
304,1183,New York Medical College,,,8961,2074,1293,1049
305,1184,Syracuse University,,,8744,687,7356,586
306,1193,Bryn Mawr College,,,1776,368,2400,2471
307,1196,University of Maine,,,1142,390,7356,986
308,1202,Middle Tennessee State University,,,2063,617,1344,2304
309,1207,Lamar University,,,3966,891,1723,1802
310,1210,University of Texas Rio Grande Valley,,,3324,2267,815,1267
311,1227,Missouri State University,,,1580,585,1368,2395
312,1231,(3) Barnard College Columbia University,,,674,864,1748,2059
313,1234,State University of New York Downstate Medical Center Brooklyn,,,4143,2683,995,1087
314,1242,Colby College,,,2182,495,1839,2438
315,1244,California State University Chico,,,2344,429,1813,2595
316,1251,Bowdoin College,,,1735,575,1999,2335
317,1253,University of Tennessee Chattanooga,,,2876,968,1164,2041
318,1261,University of Northern Iowa,,,1470,504,1437,2667
319,1267,Haverford College,,,1735,635,2455,2210
320,1280,North Carolina Agricultural & Technical State University,,,5518,1493,960,1673
321,1283,CUNY Hunter College,,,1327,3771,774,1034
322,1284,Humboldt State University,,,2210,534,1608,2568
323,1290,Babson College,,,3394,546,1094,2678
324,1292,Eastern Michigan University,,,2508,696,1534,2368
325,1294,Seton Hall University,,,2320,528,1561,2623
